"","person","item","poly","dich","description","anger","male","do","other","scold","shout"
"1",1,1,0,0,"do bus curse",20,1,0,1,0,0
"2",1,2,0,0,"do bus scold",20,1,0,1,1,0
"3",1,3,0,0,"do bus shout",20,1,0,1,0,1
"4",1,4,0,0,"do train curse",20,1,0,1,0,0
"5",1,5,0,0,"do train scold",20,1,0,1,1,0
"6",1,6,0,0,"do train shout",20,1,0,1,0,1
"7",1,7,0,0,"do store curse",20,1,0,0,0,0
"8",1,8,0,0,"do store scold",20,1,0,0,1,0
"9",1,9,1,1,"do store shout",20,1,0,0,0,1
"10",1,10,2,1,"do operator curse",20,1,0,0,0,0
"11",1,11,0,0,"do operator scold",20,1,0,0,1,0
"12",1,12,0,0,"do operator shout",20,1,0,0,0,1
"13",1,13,1,1,"want bus curse",20,1,1,1,0,0
"14",1,14,0,0,"want bus scold",20,1,1,1,1,0
"15",1,15,1,1,"want bus shout",20,1,1,1,0,1
"16",1,16,1,1,"want train curse",20,1,1,1,0,0
"17",1,17,0,0,"want train scold",20,1,1,1,1,0
"18",1,18,0,0,"want train shout",20,1,1,1,0,1
"19",1,19,1,1,"want store curse",20,1,1,0,0,0
"20",1,20,0,0,"want store scold",20,1,1,0,1,0
"21",1,21,0,0,"want store shout",20,1,1,0,0,1
"22",1,22,2,1,"want operator curse",20,1,1,0,0,0
"23",1,23,2,1,"want operator scold",20,1,1,0,1,0
"24",1,24,2,1,"want operator shout",20,1,1,0,0,1
"25",2,1,0,0,"do bus curse",11,1,0,1,0,0
"26",2,2,0,0,"do bus scold",11,1,0,1,1,0
"27",2,3,0,0,"do bus shout",11,1,0,1,0,1
"28",2,4,0,0,"do train curse",11,1,0,1,0,0
"29",2,5,0,0,"do train scold",11,1,0,1,1,0
"30",2,6,0,0,"do train shout",11,1,0,1,0,1
"31",2,7,0,0,"do store curse",11,1,0,0,0,0
"32",2,8,0,0,"do store scold",11,1,0,0,1,0
"33",2,9,0,0,"do store shout",11,1,0,0,0,1
"34",2,10,0,0,"do operator curse",11,1,0,0,0,0
"35",2,11,0,0,"do operator scold",11,1,0,0,1,0
"36",2,12,0,0,"do operator shout",11,1,0,0,0,1
"37",2,13,0,0,"want bus curse",11,1,1,1,0,0
