,person.id,item.id,response
0,1,1,1
1,2,1,1
2,3,1,1
3,4,1,1
4,5,1,1
5,6,1,1
6,7,1,1
7,8,1,1
8,9,1,1
9,10,1,1
10,11,1,1
11,12,1,1
12,13,1,1
13,14,1,1
14,15,1,1
15,16,1,1
16,17,1,1
17,18,1,1
18,19,1,1
19,20,1,1
20,21,1,1
21,22,1,1
22,23,1,1
23,24,1,0
24,25,1,1
25,26,1,1
26,27,1,1
27,28,1,1
28,29,1,1
29,30,1,1
30,31,1,1
31,32,1,1
32,33,1,1
33,34,1,1
34,35,1,1
35,36,1,1
36,37,1,1
37,38,1,1
38,39,1,1
39,40,1,1
40,41,1,1
41,42,1,1
42,43,1,1
43,44,1,1
44,45,1,1
45,46,1,1
46,47,1,1
47,48,1,1
48,49,1,1
49,50,1,1
50,51,1,1
51,52,1,1
52,53,1,1
53,54,1,1
54,55,1,0
55,56,1,0
56,57,1,0
57,58,1,1
58,59,1,0
59,60,1,1
60,61,1,0
61,1,2,0
62,2,2,1
63,3,2,1
64,4,2,1
65,5,2,1
66,6,2,0
67,7,2,1
68,8,2,1
69,9,2,1
70,10,2,1
71,11,2,1
72,12,2,1
73,13,2,0
74,14,2,1
75,15,2,1
76,16,2,1
77,17,2,1
78,18,2,1
79,19,2,1
80,20,2,1
81,21,2,0
82,22,2,1
83,23,2,1
84,24,2,1
85,25,2,1
86,26,2,1
87,27,2,1
88,28,2,1
89,29,2,0
90,30,2,1
91,31,2,1
92,32,2,1
93,33,2,0
94,34,2,1
95,35,2,1
96,36,2,1
97,37,2,1
98,38,2,1
99,39,2,1
100,40,2,1
101,41,2,0
102,42,2,1
103,43,2,1
104,44,2,1
105,45,2,1
106,46,2,1
107,47,2,1
108,48,2,0
109,49,2,1
110,50,2,0
111,51,2,1
112,52,2,1
113,53,2,1
114,54,2,1
115,55,2,0
116,56,2,1
117,57,2,0
118,58,2,1
119,59,2,0
120,60,2,1
121,61,2,0
122,1,3,1
123,2,3,1
124,3,3,1
125,4,3,0
126,5,3,1
127,6,3,1
128,7,3,1
129,8,3,0
130,9,3,1
131,10,3,1
132,11,3,1
133,12,3,1
134,13,3,0
135,14,3,1
136,15,3,1
137,16,3,1
138,17,3,1
139,18,3,0
140,19,3,1
141,20,3,1
142,21,3,0
143,22,3,1
144,23,3,1
145,24,3,1
146,25,3,1
147,26,3,1
148,27,3,1
149,28,3,1
150,29,3,1
151,30,3,1
152,31,3,1
153,32,3,1
154,33,3,1
155,34,3,1
156,35,3,1
157,36,3,1
158,37,3,1
159,38,3,1
160,39,3,1
161,40,3,1
162,41,3,1
163,42,3,1
164,43,3,1
165,44,3,1
166,45,3,1
167,46,3,1
168,47,3,1
169,48,3,1
170,49,3,1
171,50,3,1
172,51,3,1
173,52,3,1
174,53,3,1
175,54,3,1
176,55,3,0
177,56,3,1
178,57,3,1
179,58,3,1
180,59,3,1
181,60,3,1
182,61,3,0
183,1,4,1
184,2,4,1
185,3,4,1
186,4,4,1
187,5,4,1
188,6,4,1
189,7,4,1
190,8,4,1
191,9,4,1
192,10,4,1
193,11,4,1
194,12,4,1
195,13,4,1
196,14,4,1
197,15,4,1
198,16,4,1
199,17,4,0
200,18,4,1
201,19,4,1
202,20,4,1
203,21,4,1
204,22,4,1
205,23,4,1
206,24,4,0
207,25,4,1
208,26,4,1
209,27,4,1
210,28,4,1
211,29,4,1
212,30,4,1
213,31,4,0
214,32,4,1
215,33,4,1
216,34,4,1
217,35,4,1
218,36,4,1
219,37,4,0
220,38,4,1
221,39,4,1
222,40,4,1
223,41,4,1
224,42,4,1
225,43,4,1
226,44,4,1
227,45,4,1
228,46,4,1
229,47,4,1
230,48,4,1
231,49,4,1
232,50,4,1
233,51,4,1
234,52,4,1
235,53,4,0
236,54,4,1
237,55,4,0
238,56,4,0
239,57,4,1
240,58,4,0
241,59,4,0
242,60,4,1
243,61,4,0
244,1,5,0
245,2,5,1
246,3,5,0
247,4,5,0
248,5,5,1
249,6,5,0
250,7,5,0
251,8,5,1
252,9,5,1
253,10,5,0
254,11,5,1
255,12,5,1
256,13,5,0
257,14,5,1
258,15,5,1
259,16,5,1
260,17,5,0
261,18,5,0
262,19,5,1
263,20,5,1
264,21,5,0
265,22,5,1
266,23,5,1
267,24,5,0
268,25,5,1
269,26,5,1
270,27,5,1
271,28,5,1
272,29,5,1
273,30,5,1
274,31,5,1
275,32,5,1
276,33,5,1
277,34,5,1
278,35,5,1
279,36,5,1
280,37,5,1
281,38,5,1
282,39,5,1
283,40,5,0
284,41,5,0
285,42,5,0
286,43,5,1
287,44,5,1
288,45,5,1
289,46,5,1
290,47,5,1
291,48,5,0
292,49,5,1
293,50,5,0
294,51,5,1
295,52,5,0
296,53,5,1
297,54,5,1
298,55,5,0
299,56,5,1
300,57,5,1
301,58,5,1
302,59,5,1
303,60,5,0
304,61,5,0
305,1,6,1
306,2,6,1
307,3,6,0
308,4,6,1
309,5,6,1
310,6,6,1
311,7,6,1
312,8,6,1
313,9,6,1
314,10,6,1
315,23,6,1
316,24,6,0
317,25,6,1
318,26,6,1
319,27,6,1
320,28,6,1
321,29,6,1
322,30,6,1
323,31,6,1
324,32,6,1
325,33,6,1
326,34,6,1
327,35,6,1
328,1,7,0
329,2,7,0
330,3,7,0
331,4,7,1
332,5,7,1
333,6,7,0
334,7,7,1
335,8,7,0
336,9,7,1
337,10,7,1
338,23,7,1
339,24,7,1
340,25,7,1
341,26,7,0
342,27,7,1
343,28,7,1
344,29,7,1
345,30,7,1
346,31,7,1
347,32,7,1
348,33,7,0
349,34,7,0
350,35,7,1
351,1,8,1
352,2,8,0
353,3,8,0
354,4,8,1
355,5,8,0
356,6,8,0
357,7,8,1
358,8,8,0
359,9,8,1
360,10,8,1
361,23,8,1
362,24,8,0
363,25,8,1
364,26,8,1
365,27,8,1
366,28,8,1
367,29,8,0
368,30,8,1
369,31,8,1
370,32,8,1
371,33,8,1
372,34,8,1
373,35,8,1
374,1,9,1
375,2,9,1
376,3,9,0
377,4,9,1
378,5,9,1
379,6,9,0
380,7,9,1
381,8,9,1
382,9,9,1
383,10,9,1
384,23,9,1
385,24,9,0
386,25,9,1
387,26,9,1
388,27,9,1
389,28,9,1
390,29,9,1
391,30,9,1
392,31,9,1
393,32,9,1
394,33,9,1
395,34,9,1
396,35,9,1
397,1,10,1
398,2,10,0
399,3,10,0
400,4,10,1
401,5,10,1
402,6,10,0
403,7,10,0
404,8,10,1
405,9,10,1
406,10,10,1
407,23,10,1
408,24,10,0
409,25,10,1
410,26,10,1
411,27,10,1
412,28,10,1
413,29,10,1
414,30,10,1
415,31,10,1
416,32,10,0
417,33,10,1
418,34,10,0
419,35,10,1
420,1,11,0
421,2,11,1
422,3,11,0
423,4,11,1
424,5,11,0
425,6,11,0
426,7,11,0
427,8,11,0
428,9,11,0
429,10,11,1
430,23,11,1
431,24,11,0
432,25,11,0
433,26,11,0
434,27,11,0
435,28,11,0
436,29,11,0
437,30,11,1
438,31,11,1
439,32,11,0
440,33,11,0
441,34,11,0
442,35,11,1
443,1,12,1
444,2,12,0
445,3,12,0
446,4,12,0
447,5,12,1
448,6,12,1
449,7,12,1
450,8,12,1
451,9,12,1
452,10,12,1
453,23,12,1
454,24,12,0
455,25,12,1
456,26,12,1
457,27,12,1
458,28,12,1
459,29,12,1
460,30,12,1
461,31,12,1
462,32,12,1
463,33,12,1
464,34,12,1
465,35,12,1
466,1,13,0
467,2,13,0
468,3,13,0
469,4,13,1
470,5,13,1
471,6,13,0
472,7,13,1
473,8,13,1
474,9,13,1
475,10,13,1
476,23,13,1
477,24,13,0
478,25,13,1
479,26,13,1
480,27,13,1
481,28,13,1
482,29,13,1
483,30,13,1
484,31,13,1
485,32,13,0
486,33,13,1
487,34,13,0
488,35,13,1
489,1,14,0
490,2,14,1
491,3,14,0
492,4,14,0
493,5,14,1
494,6,14,1
495,7,14,0
496,8,14,0
497,9,14,0
498,10,14,0
499,23,14,1
500,24,14,0
501,25,14,1
502,26,14,1
503,27,14,1
504,28,14,0
505,29,14,0
506,30,14,1
507,31,14,0
508,32,14,1
509,33,14,0
510,34,14,1
511,35,14,1
512,1,15,1
513,2,15,1
514,3,15,0
515,4,15,0
516,5,15,1
517,6,15,1
518,7,15,1
519,8,15,0
520,9,15,1
521,10,15,0
522,23,15,1
523,24,15,0
524,25,15,0
525,26,15,1
526,27,15,1
527,28,15,1
528,29,15,1
529,30,15,1
530,31,15,1
531,32,15,1
532,33,15,0
533,34,15,1
534,35,15,1
535,11,16,1
536,12,16,0
537,13,16,0
538,14,16,0
539,15,16,0
540,16,16,1
541,17,16,0
542,18,16,0
543,19,16,1
544,20,16,0
545,21,16,0
546,22,16,0
547,36,16,0
548,37,16,0
549,38,16,0
550,39,16,0
551,40,16,0
552,41,16,0
553,42,16,0
554,43,16,1
555,44,16,1
556,45,16,0
557,46,16,1
558,47,16,0
559,48,16,1
560,49,16,0
561,50,16,0
562,51,16,1
563,52,16,0
564,53,16,0
565,54,16,0
566,55,16,0
567,56,16,0
568,57,16,1
569,58,16,0
570,59,16,0
571,60,16,0
572,61,16,0
573,11,17,1
574,12,17,1
575,13,17,0
576,14,17,0
577,15,17,0
578,16,17,1
579,17,17,1
580,18,17,1
581,19,17,0
582,20,17,1
583,21,17,1
584,22,17,1
585,36,17,1
586,37,17,1
587,38,17,1
588,39,17,0
589,40,17,1
590,41,17,1
591,42,17,1
592,43,17,1
593,44,17,1
594,45,17,0
595,46,17,0
596,47,17,1
597,48,17,1
598,49,17,1
599,50,17,1
600,51,17,0
601,52,17,1
602,53,17,1
603,54,17,1
604,55,17,1
605,56,17,0
606,57,17,1
607,58,17,0
608,59,17,1
609,60,17,0
610,61,17,0
611,11,18,1
612,12,18,1
613,13,18,1
614,14,18,1
615,15,18,1
616,16,18,0
617,17,18,1
618,18,18,1
619,19,18,1
620,20,18,1
621,21,18,0
622,22,18,1
623,36,18,1
624,37,18,1
625,38,18,1
626,39,18,1
627,40,18,1
628,41,18,1
629,42,18,1
630,43,18,1
631,44,18,1
632,45,18,1
633,46,18,0
634,47,18,1
635,48,18,1
636,49,18,1
637,50,18,1
638,51,18,1
639,52,18,1
640,53,18,1
641,54,18,1
642,55,18,1
643,56,18,0
644,57,18,0
645,58,18,1
646,59,18,1
647,60,18,1
648,61,18,1
649,11,19,1
650,12,19,1
651,13,19,1
652,14,19,1
653,15,19,1
654,16,19,1
655,17,19,1
656,18,19,0
657,19,19,1
658,20,19,1
659,21,19,0
660,22,19,1
661,36,19,1
662,37,19,1
663,38,19,1
664,39,19,1
665,40,19,1
666,41,19,1
667,42,19,1
668,43,19,1
669,44,19,1
670,45,19,0
671,46,19,0
672,47,19,1
673,48,19,1
674,49,19,1
675,50,19,0
676,51,19,1
677,52,19,1
678,53,19,1
679,54,19,1
680,55,19,1
681,56,19,0
682,57,19,0
683,58,19,1
684,59,19,0
685,60,19,1
686,61,19,0
687,11,20,0
688,12,20,1
689,13,20,0
690,14,20,1
691,15,20,1
692,16,20,0
693,17,20,0
694,18,20,1
695,19,20,1
696,20,20,1
697,21,20,1
698,22,20,1
699,36,20,1
700,37,20,1
701,38,20,1
702,39,20,1
703,40,20,1
704,41,20,1
705,42,20,1
706,43,20,1
707,44,20,1
708,45,20,1
709,46,20,0
710,47,20,1
711,48,20,1
712,49,20,1
713,50,20,1
714,51,20,1
715,52,20,1
716,53,20,1
717,54,20,1
718,55,20,1
719,56,20,0
720,57,20,0
721,58,20,1
722,59,20,0
723,60,20,1
724,61,20,0
725,11,21,1
726,12,21,1
727,13,21,0
728,14,21,1
729,15,21,1
730,16,21,1
731,17,21,1
732,18,21,0
733,19,21,0
734,20,21,0
735,21,21,0
736,22,21,1
737,36,21,1
738,37,21,1
739,38,21,0
740,39,21,1
741,40,21,1
742,41,21,0
743,42,21,0
744,43,21,1
745,44,21,1
746,45,21,0
747,46,21,0
748,47,21,1
749,48,21,1
750,49,21,0
751,50,21,0
752,51,21,1
753,52,21,0
754,53,21,1
755,54,21,1
756,55,21,1
757,56,21,0
758,57,21,1
759,58,21,1
760,59,21,0
761,60,21,0
762,61,21,0
763,11,22,1
764,12,22,1
765,13,22,0
766,14,22,1
767,15,22,0
768,16,22,1
769,17,22,1
770,18,22,0
771,19,22,1
772,20,22,1
773,21,22,1
774,22,22,1
775,36,22,1
776,37,22,1
777,38,22,1
778,39,22,0
779,40,22,1
780,41,22,1
781,42,22,1
782,43,22,1
783,44,22,0
784,45,22,0
785,46,22,0
786,47,22,1
787,48,22,1
788,49,22,1
789,50,22,1
790,51,22,1
791,52,22,1
792,53,22,0
793,54,22,1
794,55,22,1
795,56,22,0
796,57,22,0
797,58,22,1
798,59,22,0
799,60,22,1
800,61,22,0
801,11,23,1
802,12,23,1
803,13,23,0
804,14,23,1
805,15,23,1
806,16,23,1
807,17,23,1
808,18,23,1
809,19,23,1
810,20,23,1
811,21,23,1
812,22,23,1
813,36,23,1
814,37,23,1
815,38,23,1
816,39,23,1
817,40,23,1
818,41,23,1
819,42,23,1
820,43,23,0
821,44,23,1
822,45,23,1
823,46,23,1
824,47,23,1
825,48,23,0
826,49,23,0
827,50,23,1
828,51,23,1
829,52,23,0
830,53,23,0
831,54,23,1
832,55,23,0
833,56,23,1
834,57,23,0
835,58,23,1
836,59,23,0
837,60,23,0
838,61,23,0
839,11,24,1
840,12,24,1
841,13,24,1
842,14,24,0
843,15,24,1
844,16,24,1
845,17,24,0
846,18,24,1
847,19,24,1
848,20,24,1
849,21,24,1
850,22,24,1
851,36,24,1
852,37,24,1
853,38,24,1
854,39,24,0
855,40,24,1
856,41,24,1
857,42,24,1
858,43,24,1
859,44,24,1
860,45,24,1
861,46,24,1
862,47,24,0
863,48,24,1
864,49,24,1
865,50,24,1
866,51,24,1
867,52,24,1
868,53,24,1
869,54,24,1
870,55,24,0
871,56,24,1
872,57,24,1
873,58,24,1
874,59,24,0
875,60,24,1
876,61,24,0
877,11,25,1
878,12,25,1
879,13,25,1
880,14,25,0
881,15,25,1
882,16,25,1
883,17,25,0
884,18,25,1
885,19,25,1
886,20,25,1
887,21,25,1
888,22,25,1
889,36,25,1
890,37,25,0
891,38,25,1
892,39,25,1
893,40,25,0
894,41,25,1
895,42,25,0
896,43,25,1
897,44,25,0
898,45,25,1
899,46,25,1
900,47,25,1
901,48,25,1
902,49,25,1
903,50,25,0
904,51,25,1
905,52,25,0
906,53,25,0
907,54,25,1
908,55,25,1
909,56,25,0
910,57,25,1
911,58,25,1
912,59,25,0
913,60,25,1
914,61,25,0
